rank,team,points,games_played,wins,overtime_wins,overtime_losses,losses,goals_for,goals_against
1,Colorado Avalanche,73,44,30,3,7,4,179,99
2,Dallas Stars,61,45,22,4,9,10,157,129
3,Minnesota Wild,61,46,18,8,9,11,146,125
4,Utah Mammoth,47,45,16,6,3,20,137,127
5,Chicago Blackhawks,45,45,15,4,7,19,129,142
6,Nashville Predators,44,44,14,6,4,20,122,146
7,St.Louis Blues,42,46,17,0,8,21,114,161
8,Winnipeg Jets,37,43,14,2,5,22,126,135
