rank,team,points,games_played,wins,overtime_wins,overtime_losses,losses,goals_for,goals_against
1,Finland,0,0,0,0,0,0,0,0
2,Sweden,0,0,0,0,0,0,0,0
3,Canada,0,0,0,0,0,0,0,0
4,Usa,0,0,0,0,0,0,0,0
