rank,team,points,games_played,wins,overtime_wins,overtime_losses,losses,goals_for,goals_against
1,Sweden,12,4,4,0,0,0,17,3
2,Canada,9,3,3,0,0,0,16,1
3,Slovakia,7,4,2,0,1,1,7,10
4,Latvia,6,4,2,0,0,2,10,16
5,Finland,5,3,1,1,0,1,7,6
6,Austria,2,3,0,1,0,2,6,8
7,France,1,4,0,0,1,3,5,15
8,Slovenia,0,3,0,0,0,3,3,12
