leg,journee,date,match,win_type,score,available,winner
First Leg,15,12 novembre 2025,GRENOBLE - CERGY,,,yes,
First Leg,16,14 novembre 2025,NICE - ROUEN,,,yes,
First Leg,16,14 novembre 2025,GAP - BORDEAUX,,,yes,
First Leg,16,14 novembre 2025,AMIENS - CHAMONIX,,,yes,
First Leg,16,14 novembre 2025,MARSEILLE - GRENOBLE,,,yes,
First Leg,16,14 novembre 2025,CERGY - BRIANCON,,,yes,
First Leg,17,18 novembre 2025,ROUEN - CHAMONIX,,,yes,
First Leg,17,18 novembre 2025,GRENOBLE - GAP,,,yes,
First Leg,17,18 novembre 2025,BRIANCON - MARSEILLE,,,yes,
First Leg,17,18 novembre 2025,NICE - CERGY,,,yes,
First Leg,17,18 novembre 2025,BORDEAUX - ANGLET,,,yes,
First Leg,17,19 novembre 2025,ANGERS - AMIENS,,,yes,
First Leg,18,21 novembre 2025,GAP - BRIANCON,,,yes,
First Leg,18,21 novembre 2025,CHAMONIX - ANGERS,,,yes,
First Leg,18,21 novembre 2025,AMIENS - BORDEAUX,,,yes,
First Leg,18,21 novembre 2025,MARSEILLE - NICE,,,yes,
First Leg,18,21 novembre 2025,CERGY - ROUEN,,,yes,
First Leg,18,21 novembre 2025,ANGLET - GRENOBLE,,,yes,
First Leg,19,23 novembre 2025,GRENOBLE - AMIENS,,,yes,
First Leg,19,23 novembre 2025,BRIANCON - ANGLET,,,yes,
First Leg,19,23 novembre 2025,CERGY - MARSEILLE,,,yes,
First Leg,19,23 novembre 2025,NICE - GAP,,,yes,
First Leg,19,23 novembre 2025,BORDEAUX - CHAMONIX,,,yes,
First Leg,20,28 novembre 2025,GAP - CERGY,,,yes,
First Leg,20,28 novembre 2025,CHAMONIX - GRENOBLE,,,yes,
First Leg,20,28 novembre 2025,AMIENS - BRIANCON,,,yes,
First Leg,20,28 novembre 2025,MARSEILLE - ROUEN,,,yes,
First Leg,20,28 novembre 2025,ANGERS - BORDEAUX,,,yes,
First Leg,20,28 novembre 2025,ANGLET - NICE,,,yes,
First Leg,21,30 novembre 2025,GRENOBLE - ANGERS,,,yes,
First Leg,21,30 novembre 2025,BRIANCON - CHAMONIX,,,yes,
First Leg,21,30 novembre 2025,CERGY - ANGLET,,,yes,
First Leg,21,30 novembre 2025,NICE - AMIENS,,,yes,
First Leg,21,30 novembre 2025,ROUEN - BORDEAUX,,,yes,
