rank,team,points,games_played,wins,overtime_wins,overtime_losses,losses,goals_for,goals_against
1,Anaheim Ducks,77,67,22,15,3,27,223,233
2,Vegas Golden Knights,76,67,23,8,14,22,220,209
3,Edmonton Oilers,75,68,25,8,9,26,238,232
4,Seattle Kraken,71,66,25,6,9,26,191,199
5,Los Angeles Kings,71,67,18,10,15,24,180,201
6,San Jose Sharks,70,65,20,12,6,27,204,229
7,Calgary Flames,59,67,22,4,7,34,167,212
8,Vancouver Canucks,48,66,13,7,8,38,171,246
